location,forecast_date,forecast_week,forecast,confidence_lower,confidence_upper
06,2024-11-09,1,109.90227,27.422045,1662.2784
06,2024-11-16,2,23.28471,23.28471,23.28471
06,2024-11-23,3,23.28471,23.28471,23.28471
06,2024-11-30,4,23.28471,23.28471,23.28471
12,2024-11-09,1,136.9744,55.287838,885.3757
12,2024-11-16,2,24.750513,24.750513,24.750513
12,2024-11-23,3,24.750513,24.750513,24.750513
12,2024-11-30,4,24.750513,24.750513,24.750513
48,2024-11-09,1,121.18608,34.03196,1834.326
48,2024-11-16,2,30.233267,30.233267,30.233267
48,2024-11-23,3,30.233267,30.233267,30.233267
48,2024-11-30,4,30.233267,30.233267,30.233267
US,2024-11-09,1,1009.32056,221.40286,20637.105
US,2024-11-16,2,120.560295,120.560295,120.560295
US,2024-11-23,3,120.560295,120.560295,120.560295
US,2024-11-30,4,120.560295,120.560295,120.560295
